,module_id,NOCT,R_SQUARE,MEAN_SQUARE_ERROR
0,PHL6621,45.96,0.7916365738256941,4.717674977373778
1,CRS0018,44.17,0.6428917059109954,8.08549222946154
2,QCL0182,49.07,0.8426898458694019,3.561748774508541
3,QCL0201,50.84,0.8161147510787433,4.163450627934326
4,QCL0346,47.33,0.8201946996206003,4.071074189812264
